Input,Reading_level,Output
The young explorer discovered an unusual message inside an old wooden box.,Very Simple,The young explorer found an unusual message inside an old wooden box.
The young explorer discovered an unusual message inside an old wooden box.,Moderate,The young explorer discovered an unusual message inside an old wooden box.
The young explorer remained hopeful during the journey even when the path was difficult.,Light,The young explorer kept feeling hopeful even when the path was hard.
The young explorer remained hopeful during the journey even when the path was difficult.,Very Simple,The young explorer stayed hopeful during the trip even when the path was hard.
The young explorer remained hopeful during the journey even when the path was difficult.,Moderate,The young explorer remained hopeful during the journey even when the path was difficult.
The young explorer solved the challenging riddle before the moon rose.,Light,The young explorer solved the hard puzzle before the moon came up.
The young explorer solved the challenging riddle before the moon rose.,Very Simple,The young explorer solved the challenging riddle before the moon rose.
The young explorer solved the challenging riddle before the moon rose.,Moderate,The young explorer solved the challenging riddle before the moon rose.
The curious rabbit searched carefully for the hidden key while the forest grew darker.,Light,The little rabbit looked for the secret key while the woods got dark.
The curious rabbit searched carefully for the hidden key while the forest grew darker.,Very Simple,The curious rabbit looked carefully for the hidden key while the forest became darker.
The curious rabbit searched carefully for the hidden key while the forest grew darker.,Moderate,The curious rabbit searched carefully for the hidden key while the forest grew darker.
The curious rabbit followed the mysterious trail until it reached a small cave.,Light,The little rabbit followed the strange path until it came to a small cave.
The curious rabbit followed the mysterious trail until it reached a small cave.,Very Simple,The curious rabbit followed the mysterious trail until it reached a small cave.
The curious rabbit followed the mysterious trail until it reached a small cave.,Moderate,The curious rabbit followed the mysterious trail until it reached a small cave.
The curious rabbit protected the tiny lantern as the wind became stronger.,Light,The little rabbit kept the little light safe as the wind got strong.
The curious rabbit protected the tiny lantern as the wind became stronger.,Very Simple,The curious rabbit protected the tiny lantern as the wind became stronger.
The curious rabbit protected the tiny lantern as the wind became stronger.,Moderate,The curious rabbit protected the tiny lantern as the wind became stronger.
The curious rabbit shared a valuable lesson when the group felt discouraged.,Light,The little rabbit shared an important lesson when the group felt sad.
The curious rabbit shared a valuable lesson when the group felt discouraged.,Very Simple,The curious rabbit shared a valuable lesson when the group felt discouraged.
The curious rabbit shared a valuable lesson when the group felt discouraged.,Moderate,The curious rabbit shared a valuable lesson when the group felt discouraged.
The curious rabbit discovered an unusual message inside an old wooden box.,Light,The little rabbit found a strange note in an old box.
The curious rabbit discovered an unusual message inside an old wooden box.,Very Simple,The curious rabbit found an unusual message inside an old wooden box.
The curious rabbit discovered an unusual message inside an old wooden box.,Moderate,The curious rabbit discovered an unusual message inside an old wooden box.
The curious rabbit remained hopeful during the journey even when the path was difficult.,Light,The little rabbit kept feeling hopeful even when the path was hard.
The curious rabbit remained hopeful during the journey even when the path was difficult.,Very Simple,The curious rabbit stayed hopeful during the trip even when the path was hard.
The curious rabbit remained hopeful during the journey even when the path was difficult.,Moderate,The curious rabbit remained hopeful during the journey even when the path was difficult.
The curious rabbit solved the challenging riddle before the moon rose.,Light,The little rabbit solved the hard puzzle before the moon came up.
The curious rabbit solved the challenging riddle before the moon rose.,Very Simple,The curious rabbit solved the challenging riddle before the moon rose.
The curious rabbit solved the challenging riddle before the moon rose.,Moderate,The curious rabbit solved the challenging riddle before the moon rose.
The kind princess searched carefully for the hidden key while the forest grew darker.,Very Simple,The kind princess looked for the secret key while the woods got dark.
The kind princess searched carefully for the hidden key while the forest grew darker.,Moderate,The kind princess looked carefully for the hidden key while the forest became darker.
The kind princess searched carefully for the hidden key while the forest grew darker.,Light,The kind princess searched carefully for the hidden key while the forest grew darker.
The kind princess followed the mysterious trail until it reached a small cave.,Very Simple,The kind princess followed the strange path until it came to a small cave.
The kind princess followed the mysterious trail until it reached a small cave.,Moderate,The kind princess followed the mysterious trail until it reached a small cave.
The kind princess followed the mysterious trail until it reached a small cave.,Light,The kind princess followed the mysterious trail until it reached a small cave.
The kind princess protected the tiny lantern as the wind became stronger.,Very Simple,The kind princess kept the little light safe as the wind got strong.
The kind princess protected the tiny lantern as the wind became stronger.,Moderate,The kind princess protected the tiny lantern as the wind became stronger.
The kind princess protected the tiny lantern as the wind became stronger.,Light,The kind princess protected the tiny lantern as the wind became stronger.
The kind princess shared a valuable lesson when the group felt discouraged.,Very Simple,The kind princess shared an important lesson when the group felt sad.
The kind princess shared a valuable lesson when the group felt discouraged.,Moderate,The kind princess shared a valuable lesson when the group felt discouraged.
The kind princess shared a valuable lesson when the group felt discouraged.,Light,The kind princess shared a valuable lesson when the group felt discouraged.
The kind princess discovered an unusual message inside an old wooden box.,Very Simple,The kind princess found a strange note in an old box.
The kind princess discovered an unusual message inside an old wooden box.,Moderate,The kind princess found an unusual message inside an old wooden box.
The kind princess discovered an unusual message inside an old wooden box.,Light,The kind princess discovered an unusual message inside an old wooden box.
The kind princess remained hopeful during the journey even when the path was difficult.,Very Simple,The kind princess kept feeling hopeful even when the path was hard.
The kind princess remained hopeful during the journey even when the path was difficult.,Moderate,The kind princess stayed hopeful during the trip even when the path was hard.
The kind princess remained hopeful during the journey even when the path was difficult.,Light,The kind princess remained hopeful during the journey even when the path was difficult.
The kind princess solved the challenging riddle before the moon rose.,Very Simple,The kind princess solved the hard puzzle before the moon came up.
The kind princess solved the challenging riddle before the moon rose.,Moderate,The kind princess solved the challenging riddle before the moon rose.
The kind princess solved the challenging riddle before the moon rose.,Light,The kind princess solved the challenging riddle before the moon rose.
The clever fox searched carefully for the hidden key while the forest grew darker.,Very Simple,The smart fox looked for the secret key while the woods got dark.
The clever fox searched carefully for the hidden key while the forest grew darker.,Moderate,The clever fox looked carefully for the hidden key while the forest became darker.
The clever fox searched carefully for the hidden key while the forest grew darker.,Light,The clever fox searched carefully for the hidden key while the forest grew darker.
The clever fox followed the mysterious trail until it reached a small cave.,Very Simple,The smart fox followed the strange path until it came to a small cave.
The clever fox followed the mysterious trail until it reached a small cave.,Moderate,The clever fox followed the mysterious trail until it reached a small cave.
The clever fox followed the mysterious trail until it reached a small cave.,Light,The clever fox followed the mysterious trail until it reached a small cave.
The clever fox protected the tiny lantern as the wind became stronger.,Very Simple,The smart fox kept the little light safe as the wind got strong.
The clever fox protected the tiny lantern as the wind became stronger.,Moderate,The clever fox protected the tiny lantern as the wind became stronger.
The clever fox protected the tiny lantern as the wind became stronger.,Light,The clever fox protected the tiny lantern as the wind became stronger.
The clever fox shared a valuable lesson when the group felt discouraged.,Very Simple,The smart fox shared an important lesson when the group felt sad.
The clever fox shared a valuable lesson when the group felt discouraged.,Moderate,The clever fox shared a valuable lesson when the group felt discouraged.
The clever fox shared a valuable lesson when the group felt discouraged.,Light,The clever fox shared a valuable lesson when the group felt discouraged.
The clever fox discovered an unusual message inside an old wooden box.,Very Simple,The smart fox found a strange note in an old box.
The clever fox discovered an unusual message inside an old wooden box.,Moderate,The clever fox found an unusual message inside an old wooden box.
The clever fox discovered an unusual message inside an old wooden box.,Light,The clever fox discovered an unusual message inside an old wooden box.
The clever fox remained hopeful during the journey even when the path was difficult.,Very Simple,The smart fox kept feeling hopeful even when the path was hard.
The clever fox remained hopeful during the journey even when the path was difficult.,Moderate,The clever fox stayed hopeful during the trip even when the path was hard.
The clever fox remained hopeful during the journey even when the path was difficult.,Light,The clever fox remained hopeful during the journey even when the path was difficult.
The clever fox solved the challenging riddle before the moon rose.,Very Simple,The smart fox solved the hard puzzle before the moon came up.
The clever fox solved the challenging riddle before the moon rose.,Moderate,The clever fox solved the challenging riddle before the moon rose.
The clever fox solved the challenging riddle before the moon rose.,Light,The clever fox solved the challenging riddle before the moon rose.
The small sailor searched carefully for the hidden key while the forest grew darker.,Very Simple,The little sailor looked for the secret key while the woods got dark.
The small sailor searched carefully for the hidden key while the forest grew darker.,Moderate,The small sailor looked carefully for the hidden key while the forest became darker.
The small sailor searched carefully for the hidden key while the forest grew darker.,Light,The small sailor searched carefully for the hidden key while the forest grew darker.
The small sailor followed the mysterious trail until it reached a small cave.,Very Simple,The little sailor followed the strange path until it came to a small cave.
The small sailor followed the mysterious trail until it reached a small cave.,Moderate,The small sailor followed the mysterious trail until it reached a small cave.
The small sailor followed the mysterious trail until it reached a small cave.,Light,The small sailor followed the mysterious trail until it reached a small cave.
The small sailor protected the tiny lantern as the wind became stronger.,Very Simple,The little sailor kept the little light safe as the wind got strong.
The small sailor protected the tiny lantern as the wind became stronger.,Moderate,The small sailor protected the tiny lantern as the wind became stronger.
The small sailor protected the tiny lantern as the wind became stronger.,Light,The small sailor protected the tiny lantern as the wind became stronger.
The small sailor shared a valuable lesson when the group felt discouraged.,Very Simple,The little sailor shared an important lesson when the group felt sad.
The small sailor shared a valuable lesson when the group felt discouraged.,Moderate,The small sailor shared a valuable lesson when the group felt discouraged.
The small sailor shared a valuable lesson when the group felt discouraged.,Light,The small sailor shared a valuable lesson when the group felt discouraged.
The small sailor discovered an unusual message inside an old wooden box.,Very Simple,The little sailor found a strange note in an old box.
The small sailor discovered an unusual message inside an old wooden box.,Moderate,The small sailor found an unusual message inside an old wooden box.
The small sailor discovered an unusual message inside an old wooden box.,Light,The small sailor discovered an unusual message inside an old wooden box.
The small sailor remained hopeful during the journey even when the path was difficult.,Very Simple,The little sailor kept feeling hopeful even when the path was hard.
The small sailor remained hopeful during the journey even when the path was difficult.,Moderate,The small sailor stayed hopeful during the trip even when the path was hard.
The small sailor remained hopeful during the journey even when the path was difficult.,Light,The small sailor remained hopeful during the journey even when the path was difficult.
The small sailor solved the challenging riddle before the moon rose.,Very Simple,The little sailor solved the hard puzzle before the moon came up.
The small sailor solved the challenging riddle before the moon rose.,Moderate,The small sailor solved the challenging riddle before the moon rose.
The small sailor solved the challenging riddle before the moon rose.,Light,The small sailor solved the challenging riddle before the moon rose.
The patient gardener searched carefully for the hidden key while the forest grew darker.,Very Simple,The garden helper looked for the secret key while the woods got dark.
The patient gardener searched carefully for the hidden key while the forest grew darker.,Moderate,The patient gardener looked carefully for the hidden key while the forest became darker.
The patient gardener searched carefully for the hidden key while the forest grew darker.,Light,The patient gardener searched carefully for the hidden key while the forest grew darker.
The patient gardener followed the mysterious trail until it reached a small cave.,Very Simple,The garden helper followed the strange path until it came to a small cave.
The patient gardener followed the mysterious trail until it reached a small cave.,Moderate,The patient gardener followed the mysterious trail until it reached a small cave.
The patient gardener followed the mysterious trail until it reached a small cave.,Very Simple,The patient gardener followed the mysterious trail until it reached a small cave.
The patient gardener protected the tiny lantern as the wind became stronger.,Moderate,The garden helper kept the little light safe as the wind got strong.
The patient gardener protected the tiny lantern as the wind became stronger.,Light,The patient gardener protected the tiny lantern as the wind became stronger.
The patient gardener protected the tiny lantern as the wind became stronger.,Very Simple,The patient gardener protected the tiny lantern as the wind became stronger.
The patient gardener shared a valuable lesson when the group felt discouraged.,Moderate,The garden helper shared an important lesson when the group felt sad.
The patient gardener shared a valuable lesson when the group felt discouraged.,Light,The patient gardener shared a valuable lesson when the group felt discouraged.
The patient gardener shared a valuable lesson when the group felt discouraged.,Very Simple,The patient gardener shared a valuable lesson when the group felt discouraged.
The patient gardener discovered an unusual message inside an old wooden box.,Moderate,The garden helper found a strange note in an old box.
The patient gardener discovered an unusual message inside an old wooden box.,Light,The patient gardener found an unusual message inside an old wooden box.
The patient gardener discovered an unusual message inside an old wooden box.,Very Simple,The patient gardener discovered an unusual message inside an old wooden box.
The patient gardener remained hopeful during the journey even when the path was difficult.,Moderate,The garden helper kept feeling hopeful even when the path was hard.
The patient gardener remained hopeful during the journey even when the path was difficult.,Light,The patient gardener stayed hopeful during the trip even when the path was hard.
The patient gardener remained hopeful during the journey even when the path was difficult.,Very Simple,The patient gardener remained hopeful during the journey even when the path was difficult.
The patient gardener solved the challenging riddle before the moon rose.,Moderate,The garden helper solved the hard puzzle before the moon came up.
The patient gardener solved the challenging riddle before the moon rose.,Light,The patient gardener solved the challenging riddle before the moon rose.
The patient gardener solved the challenging riddle before the moon rose.,Very Simple,The patient gardener solved the challenging riddle before the moon rose.
The friendly giant searched carefully for the hidden key while the forest grew darker.,Moderate,The friendly giant looked for the secret key while the woods got dark.
The friendly giant searched carefully for the hidden key while the forest grew darker.,Light,The friendly giant looked carefully for the hidden key while the forest became darker.
The friendly giant searched carefully for the hidden key while the forest grew darker.,Very Simple,The friendly giant searched carefully for the hidden key while the forest grew darker.
The friendly giant followed the mysterious trail until it reached a small cave.,Moderate,The friendly giant followed the strange path until it came to a small cave.
The friendly giant followed the mysterious trail until it reached a small cave.,Light,The friendly giant followed the mysterious trail until it reached a small cave.
The friendly giant followed the mysterious trail until it reached a small cave.,Very Simple,The friendly giant followed the mysterious trail until it reached a small cave.
The friendly giant protected the tiny lantern as the wind became stronger.,Moderate,The friendly giant kept the little light safe as the wind got strong.
The friendly giant protected the tiny lantern as the wind became stronger.,Light,The friendly giant protected the tiny lantern as the wind became stronger.
The friendly giant protected the tiny lantern as the wind became stronger.,Very Simple,The friendly giant protected the tiny lantern as the wind became stronger.
The friendly giant shared a valuable lesson when the group felt discouraged.,Moderate,The friendly giant shared an important lesson when the group felt sad.
The friendly giant shared a valuable lesson when the group felt discouraged.,Light,The friendly giant shared a valuable lesson when the group felt discouraged.
The friendly giant shared a valuable lesson when the group felt discouraged.,Very Simple,The friendly giant shared a valuable lesson when the group felt discouraged.
The friendly giant discovered an unusual message inside an old wooden box.,Moderate,The friendly giant found a strange note in an old box.
The friendly giant discovered an unusual message inside an old wooden box.,Light,The friendly giant found an unusual message inside an old wooden box.
The friendly giant discovered an unusual message inside an old wooden box.,Very Simple,The friendly giant discovered an unusual message inside an old wooden box.
The friendly giant remained hopeful during the journey even when the path was difficult.,Moderate,The friendly giant kept feeling hopeful even when the path was hard.
The friendly giant remained hopeful during the journey even when the path was difficult.,Light,The friendly giant stayed hopeful during the trip even when the path was hard.
The friendly giant remained hopeful during the journey even when the path was difficult.,Very Simple,The friendly giant remained hopeful during the journey even when the path was difficult.
The friendly giant solved the challenging riddle before the moon rose.,Moderate,The friendly giant solved the hard puzzle before the moon came up.
The friendly giant solved the challenging riddle before the moon rose.,Light,The friendly giant solved the challenging riddle before the moon rose.
The friendly giant solved the challenging riddle before the moon rose.,Very Simple,The friendly giant solved the challenging riddle before the moon rose.
The lost puppy searched carefully for the hidden key while the forest grew darker.,Moderate,The lost puppy looked for the secret key while the woods got dark.
The lost puppy searched carefully for the hidden key while the forest grew darker.,Light,The lost puppy looked carefully for the hidden key while the forest became darker.
The lost puppy searched carefully for the hidden key while the forest grew darker.,Very Simple,The lost puppy searched carefully for the hidden key while the forest grew darker.
The lost puppy followed the mysterious trail until it reached a small cave.,Moderate,The lost puppy followed the strange path until it came to a small cave.
The lost puppy followed the mysterious trail until it reached a small cave.,Light,The lost puppy followed the mysterious trail until it reached a small cave.
The lost puppy followed the mysterious trail until it reached a small cave.,Very Simple,The lost puppy followed the mysterious trail until it reached a small cave.
The lost puppy protected the tiny lantern as the wind became stronger.,Moderate,The lost puppy kept the little light safe as the wind got strong.
The lost puppy protected the tiny lantern as the wind became stronger.,Light,The lost puppy protected the tiny lantern as the wind became stronger.
The lost puppy protected the tiny lantern as the wind became stronger.,Very Simple,The lost puppy protected the tiny lantern as the wind became stronger.
The lost puppy shared a valuable lesson when the group felt discouraged.,Moderate,The lost puppy shared an important lesson when the group felt sad.
The lost puppy shared a valuable lesson when the group felt discouraged.,Light,The lost puppy shared a valuable lesson when the group felt discouraged.
The lost puppy shared a valuable lesson when the group felt discouraged.,Very Simple,The lost puppy shared a valuable lesson when the group felt discouraged.
The lost puppy discovered an unusual message inside an old wooden box.,Moderate,The lost puppy found a strange note in an old box.
The lost puppy discovered an unusual message inside an old wooden box.,Light,The lost puppy found an unusual message inside an old wooden box.
The lost puppy discovered an unusual message inside an old wooden box.,Very Simple,The lost puppy discovered an unusual message inside an old wooden box.
The lost puppy remained hopeful during the journey even when the path was difficult.,Moderate,The lost puppy kept feeling hopeful even when the path was hard.
The lost puppy remained hopeful during the journey even when the path was difficult.,Light,The lost puppy stayed hopeful during the trip even when the path was hard.
The lost puppy remained hopeful during the journey even when the path was difficult.,Very Simple,The lost puppy remained hopeful during the journey even when the path was difficult.
The lost puppy solved the challenging riddle before the moon rose.,Moderate,The lost puppy solved the hard puzzle before the moon came up.
The lost puppy solved the challenging riddle before the moon rose.,Light,The lost puppy solved the challenging riddle before the moon rose.
The lost puppy solved the challenging riddle before the moon rose.,Very Simple,The lost puppy solved the challenging riddle before the moon rose.
The quiet painter searched carefully for the hidden key while the forest grew darker.,Moderate,The quiet painter looked for the secret key while the woods got dark.
The quiet painter searched carefully for the hidden key while the forest grew darker.,Light,The quiet painter looked carefully for the hidden key while the forest became darker.
The quiet painter searched carefully for the hidden key while the forest grew darker.,Very Simple,The quiet painter searched carefully for the hidden key while the forest grew darker.
The quiet painter followed the mysterious trail until it reached a small cave.,Moderate,The quiet painter followed the strange path until it came to a small cave.
The quiet painter followed the mysterious trail until it reached a small cave.,Light,The quiet painter followed the mysterious trail until it reached a small cave.
The quiet painter followed the mysterious trail until it reached a small cave.,Very Simple,The quiet painter followed the mysterious trail until it reached a small cave.
The quiet painter protected the tiny lantern as the wind became stronger.,Moderate,The quiet painter kept the little light safe as the wind got strong.
The quiet painter protected the tiny lantern as the wind became stronger.,Light,The quiet painter protected the tiny lantern as the wind became stronger.
The quiet painter protected the tiny lantern as the wind became stronger.,Very Simple,The quiet painter protected the tiny lantern as the wind became stronger.
The quiet painter shared a valuable lesson when the group felt discouraged.,Moderate,The quiet painter shared an important lesson when the group felt sad.
The quiet painter shared a valuable lesson when the group felt discouraged.,Very Simple,The quiet painter shared a valuable lesson when the group felt discouraged.
The quiet painter shared a valuable lesson when the group felt discouraged.,Moderate,The quiet painter shared a valuable lesson when the group felt discouraged.
The quiet painter discovered an unusual message inside an old wooden box.,Light,The quiet painter found a strange note in an old box.
The quiet painter discovered an unusual message inside an old wooden box.,Very Simple,The quiet painter found an unusual message inside an old wooden box.
The quiet painter discovered an unusual message inside an old wooden box.,Moderate,The quiet painter discovered an unusual message inside an old wooden box.
The quiet painter remained hopeful during the journey even when the path was difficult.,Light,The quiet painter kept feeling hopeful even when the path was hard.
The quiet painter remained hopeful during the journey even when the path was difficult.,Very Simple,The quiet painter stayed hopeful during the trip even when the path was hard.
The quiet painter remained hopeful during the journey even when the path was difficult.,Moderate,The quiet painter remained hopeful during the journey even when the path was difficult.
The quiet painter solved the challenging riddle before the moon rose.,Light,The quiet painter solved the hard puzzle before the moon came up.
The quiet painter solved the challenging riddle before the moon rose.,Very Simple,The quiet painter solved the challenging riddle before the moon rose.
The quiet painter solved the challenging riddle before the moon rose.,Moderate,The quiet painter solved the challenging riddle before the moon rose.
The teacher evaluated the results carefully before making a final decision.,Light,The teacher checked the results before choosing.
The teacher evaluated the results carefully before making a final decision.,Very Simple,The teacher checked the results carefully before making a final decision.
The teacher evaluated the results carefully before making a final decision.,Moderate,The teacher evaluated the results carefully before making a final decision.
The teacher explained the complicated process so everyone could understand it.,Light,The teacher explained the hard steps so everyone could understand.
The teacher explained the complicated process so everyone could understand it.,Very Simple,The teacher explained the difficult process so everyone could understand it.
The teacher explained the complicated process so everyone could understand it.,Moderate,The teacher explained the complicated process so everyone could understand it.
The teacher organized the important materials before the meeting began.,Light,The teacher put the important things in order before the meeting started.
The teacher organized the important materials before the meeting began.,Very Simple,The teacher organized the important materials before the meeting began.
The teacher organized the important materials before the meeting began.,Moderate,The teacher organized the important materials before the meeting began.
The teacher responded calmly to the unexpected problem and helped the group move forward.,Light,The teacher stayed calm when a problem came and helped the group keep going.
The teacher responded calmly to the unexpected problem and helped the group move forward.,Very Simple,The teacher responded calmly to the sudden problem and helped the group move forward.
The teacher responded calmly to the unexpected problem and helped the group move forward.,Moderate,The teacher responded calmly to the unexpected problem and helped the group move forward.
The teacher created a practical solution after several attempts.,Light,The teacher made a helpful fix after trying a few times.
The teacher created a practical solution after several attempts.,Very Simple,The teacher created a useful solution after several tries.
The teacher created a practical solution after several attempts.,Moderate,The teacher created a practical solution after several attempts.
The teacher improved the original plan by listening to feedback.,Light,The teacher made the plan better by listening to ideas.
The teacher improved the original plan by listening to feedback.,Very Simple,The teacher improved the first plan by listening to feedback.
The teacher improved the original plan by listening to feedback.,Moderate,The teacher improved the original plan by listening to feedback.
The teacher maintained a positive attitude during the difficult task.,Light,The teacher stayed positive during the hard job.
The teacher maintained a positive attitude during the difficult task.,Very Simple,The teacher kept a positive attitude during the difficult task.
The teacher maintained a positive attitude during the difficult task.,Moderate,The teacher maintained a positive attitude during the difficult task.
The student evaluated the results carefully before making a final decision.,Light,The student checked the results before choosing.
The student evaluated the results carefully before making a final decision.,Very Simple,The student checked the results carefully before making a final decision.
The student evaluated the results carefully before making a final decision.,Moderate,The student evaluated the results carefully before making a final decision.
The student explained the complicated process so everyone could understand it.,Light,The student explained the hard steps so everyone could understand.
The student explained the complicated process so everyone could understand it.,Very Simple,The student explained the difficult process so everyone could understand it.
The student explained the complicated process so everyone could understand it.,Moderate,The student explained the complicated process so everyone could understand it.
The student organized the important materials before the meeting began.,Light,The student put the important things in order before the meeting started.
The student organized the important materials before the meeting began.,Very Simple,The student organized the important materials before the meeting began.
The student organized the important materials before the meeting began.,Moderate,The student organized the important materials before the meeting began.
The student responded calmly to the unexpected problem and helped the group move forward.,Light,The student stayed calm when a problem came and helped the group keep going.
The student responded calmly to the unexpected problem and helped the group move forward.,Very Simple,The student responded calmly to the sudden problem and helped the group move forward.
The student responded calmly to the unexpected problem and helped the group move forward.,Moderate,The student responded calmly to the unexpected problem and helped the group move forward.
The student created a practical solution after several attempts.,Light,The student made a helpful fix after trying a few times.
The student created a practical solution after several attempts.,Very Simple,The student created a useful solution after several tries.
The student created a practical solution after several attempts.,Moderate,The student created a practical solution after several attempts.
The student improved the original plan by listening to feedback.,Light,The student made the plan better by listening to ideas.
The student improved the original plan by listening to feedback.,Very Simple,The student improved the first plan by listening to feedback.
The student improved the original plan by listening to feedback.,Moderate,The student improved the original plan by listening to feedback.
The student maintained a positive attitude during the difficult task.,Light,The student stayed positive during the hard job.
The student maintained a positive attitude during the difficult task.,Very Simple,The student kept a positive attitude during the difficult task.
The student maintained a positive attitude during the difficult task.,Moderate,The student maintained a positive attitude during the difficult task.
The team evaluated the results carefully before making a final decision.,Light,The team checked the results before choosing.
The team evaluated the results carefully before making a final decision.,Very Simple,The team checked the results carefully before making a final decision.
The team evaluated the results carefully before making a final decision.,Moderate,The team evaluated the results carefully before making a final decision.
The team explained the complicated process so everyone could understand it.,Light,The team explained the hard steps so everyone could understand.
The team explained the complicated process so everyone could understand it.,Very Simple,The team explained the difficult process so everyone could understand it.
The team explained the complicated process so everyone could understand it.,Moderate,The team explained the complicated process so everyone could understand it.
The team organized the important materials before the meeting began.,Light,The team put the important things in order before the meeting started.
The team organized the important materials before the meeting began.,Very Simple,The team organized the important materials before the meeting began.
The team organized the important materials before the meeting began.,Moderate,The team organized the important materials before the meeting began.
The team responded calmly to the unexpected problem and helped the group move forward.,Light,The team stayed calm when a problem came and helped the group keep going.
The team responded calmly to the unexpected problem and helped the group move forward.,Very Simple,The team responded calmly to the sudden problem and helped the group move forward.
The team responded calmly to the unexpected problem and helped the group move forward.,Moderate,The team responded calmly to the unexpected problem and helped the group move forward.
The team created a practical solution after several attempts.,Light,The team made a helpful fix after trying a few times.
The team created a practical solution after several attempts.,Very Simple,The team created a useful solution after several tries.
The team created a practical solution after several attempts.,Moderate,The team created a practical solution after several attempts.
The team improved the original plan by listening to feedback.,Very Simple,The team made the plan better by listening to ideas.
The team improved the original plan by listening to feedback.,Moderate,The team improved the first plan by listening to feedback.
The team improved the original plan by listening to feedback.,Light,The team improved the original plan by listening to feedback.
The team maintained a positive attitude during the difficult task.,Very Simple,The team stayed positive during the hard job.
The team maintained a positive attitude during the difficult task.,Moderate,The team kept a positive attitude during the difficult task.
The team maintained a positive attitude during the difficult task.,Light,The team maintained a positive attitude during the difficult task.
The manager evaluated the results carefully before making a final decision.,Very Simple,The boss checked the results before choosing.
The manager evaluated the results carefully before making a final decision.,Moderate,The manager checked the results carefully before making a final decision.
The manager evaluated the results carefully before making a final decision.,Light,The manager evaluated the results carefully before making a final decision.
The manager explained the complicated process so everyone could understand it.,Very Simple,The boss explained the hard steps so everyone could understand.
The manager explained the complicated process so everyone could understand it.,Moderate,The manager explained the difficult process so everyone could understand it.
The manager explained the complicated process so everyone could understand it.,Light,The manager explained the complicated process so everyone could understand it.
The manager organized the important materials before the meeting began.,Very Simple,The boss put the important things in order before the meeting started.
The manager organized the important materials before the meeting began.,Moderate,The manager organized the important materials before the meeting began.
The manager organized the important materials before the meeting began.,Light,The manager organized the important materials before the meeting began.
The manager responded calmly to the unexpected problem and helped the group move forward.,Very Simple,The boss stayed calm when a problem came and helped the group keep going.
The manager responded calmly to the unexpected problem and helped the group move forward.,Moderate,The manager responded calmly to the sudden problem and helped the group move forward.
The manager responded calmly to the unexpected problem and helped the group move forward.,Light,The manager responded calmly to the unexpected problem and helped the group move forward.
The manager created a practical solution after several attempts.,Very Simple,The boss made a helpful fix after trying a few times.
The manager created a practical solution after several attempts.,Moderate,The manager created a useful solution after several tries.
The manager created a practical solution after several attempts.,Light,The manager created a practical solution after several attempts.
The manager improved the original plan by listening to feedback.,Very Simple,The boss made the plan better by listening to ideas.
The manager improved the original plan by listening to feedback.,Moderate,The manager improved the first plan by listening to feedback.
The manager improved the original plan by listening to feedback.,Light,The manager improved the original plan by listening to feedback.
The manager maintained a positive attitude during the difficult task.,Very Simple,The boss stayed positive during the hard job.
The manager maintained a positive attitude during the difficult task.,Moderate,The manager kept a positive attitude during the difficult task.
The manager maintained a positive attitude during the difficult task.,Light,The manager maintained a positive attitude during the difficult task.
The scientist evaluated the results carefully before making a final decision.,Very Simple,The scientist checked the results before choosing.
The scientist evaluated the results carefully before making a final decision.,Moderate,The scientist checked the results carefully before making a final decision.
The scientist evaluated the results carefully before making a final decision.,Light,The scientist evaluated the results carefully before making a final decision.
The scientist explained the complicated process so everyone could understand it.,Very Simple,The scientist explained the hard steps so everyone could understand.
The scientist explained the complicated process so everyone could understand it.,Moderate,The scientist explained the difficult process so everyone could understand it.
The scientist explained the complicated process so everyone could understand it.,Light,The scientist explained the complicated process so everyone could understand it.
The scientist organized the important materials before the meeting began.,Very Simple,The scientist put the important things in order before the meeting started.
The scientist organized the important materials before the meeting began.,Moderate,The scientist organized the important materials before the meeting began.
The scientist organized the important materials before the meeting began.,Light,The scientist organized the important materials before the meeting began.
The scientist responded calmly to the unexpected problem and helped the group move forward.,Very Simple,The scientist stayed calm when a problem came and helped the group keep going.
The scientist responded calmly to the unexpected problem and helped the group move forward.,Moderate,The scientist responded calmly to the sudden problem and helped the group move forward.
The scientist responded calmly to the unexpected problem and helped the group move forward.,Light,The scientist responded calmly to the unexpected problem and helped the group move forward.
The scientist created a practical solution after several attempts.,Very Simple,The scientist made a helpful fix after trying a few times.
The scientist created a practical solution after several attempts.,Moderate,The scientist created a useful solution after several tries.
The scientist created a practical solution after several attempts.,Light,The scientist created a practical solution after several attempts.
The scientist improved the original plan by listening to feedback.,Very Simple,The scientist made the plan better by listening to ideas.
The scientist improved the original plan by listening to feedback.,Moderate,The scientist improved the first plan by listening to feedback.
The scientist improved the original plan by listening to feedback.,Light,The scientist improved the original plan by listening to feedback.
The scientist maintained a positive attitude during the difficult task.,Very Simple,The scientist stayed positive during the hard job.
The scientist maintained a positive attitude during the difficult task.,Moderate,The scientist kept a positive attitude during the difficult task.
The scientist maintained a positive attitude during the difficult task.,Light,The scientist maintained a positive attitude during the difficult task.
The writer evaluated the results carefully before making a final decision.,Very Simple,The writer checked the results before choosing.
The writer evaluated the results carefully before making a final decision.,Moderate,The writer checked the results carefully before making a final decision.
The writer evaluated the results carefully before making a final decision.,Light,The writer evaluated the results carefully before making a final decision.
